,station,date,avg_aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
1772,"IITG, Guwahati - PCBA",2025-01-28,5.0,1117.9049999999997,0.36458333333333326,25.125833333333333,60.55791666666665,7.861666666666667,111.23625000000003,122.39250000000003,7.055833333333333
1773,"IITG, Guwahati - PCBA",2025-01-29,4.958333333333333,1137.37625,0.6066666666666667,21.049166666666665,56.22083333333333,7.445416666666667,105.03791666666667,113.88875000000002,7.095416666666666
1774,"IITG, Guwahati - PCBA",2025-01-30,5.0,1064.220416666667,1.2645833333333334,24.04375,67.62041666666666,13.211249999999998,115.49708333333332,125.93166666666666,15.477083333333333
1775,"IITG, Guwahati - PCBA",2025-01-31,4.916666666666667,1090.0891666666669,0.13916666666666666,22.11208333333333,64.82041666666666,5.675,108.67416666666664,119.10416666666667,6.790416666666666
1776,"IITG, Guwahati - PCBA",2025-02-01,3.5416666666666665,853.6574999999999,0.0995833333333333,13.355833333333335,61.92958333333334,3.4316666666666666,53.79333333333332,61.06541666666667,5.850416666666665
1777,"IITG, Guwahati - PCBA",2025-02-02,3.9166666666666665,946.2841666666668,0.7425,21.255000000000003,47.93375,4.497083333333333,65.235,78.29041666666664,9.221666666666666
1778,"IITG, Guwahati - PCBA",2025-02-03,4.291666666666667,1232.2274999999997,2.8433333333333337,34.86833333333334,37.167500000000004,9.494583333333331,77.885,96.1175,16.51666666666667
1779,"IITG, Guwahati - PCBA",2025-02-04,4.666666666666667,1255.0354166666666,1.4425000000000001,36.05875,52.597916666666656,9.243333333333336,91.60125000000001,111.29583333333335,20.31875
1780,"IITG, Guwahati - PCBA",2025-02-05,4.875,1224.1608333333331,0.58875,28.766666666666666,55.46791666666667,9.444166666666666,102.31208333333335,119.50791666666663,11.339166666666669
1781,"IITG, Guwahati - PCBA",2025-02-06,5.0,1143.2183333333335,0.7712499999999998,20.180833333333332,63.606249999999996,5.3500000000000005,127.05291666666669,143.865,9.476666666666668
1782,"IITG, Guwahati - PCBA",2025-02-07,5.0,1238.6245833333332,0.8795833333333333,21.568749999999998,84.05708333333335,11.215416666666663,169.82625,187.4679166666667,16.63791666666667
1783,"IITG, Guwahati - PCBA",2025-02-08,4.791666666666667,1134.3158333333338,0.2858333333333333,22.1575,72.82208333333331,6.792083333333333,138.96958333333333,157.55,15.029166666666667
1784,"IITG, Guwahati - PCBA",2025-02-09,4.833333333333333,992.7354166666665,0.44875,19.462916666666665,73.06125,8.655,106.90374999999999,120.28208333333333,14.582500000000001
1785,"IITG, Guwahati - PCBA",2025-02-10,5.0,1064.49875,0.6829166666666668,20.311249999999998,82.46958333333333,9.508750000000001,139.86791666666667,156.36166666666665,13.642916666666665
1786,"IITG, Guwahati - PCBA",2025-02-11,5.0,992.1795833333334,0.24375,13.854583333333332,90.64291666666668,5.745833333333333,140.42874999999998,153.68541666666667,8.062083333333332
1787,"IITG, Guwahati - PCBA",2025-02-12,4.166666666666667,749.6274999999999,0.13624999999999998,11.737916666666665,75.59416666666667,5.892499999999999,69.1429166666667,78.30458333333333,7.105
1788,"IITG, Guwahati - PCBA",2025-02-13,4.458333333333333,887.8704166666666,0.18083333333333332,19.996666666666666,72.6875,5.951250000000001,75.95208333333333,89.01333333333334,7.871666666666669
1789,"IITG, Guwahati - PCBA",2025-02-14,4.666666666666667,1031.1212500000001,0.5066666666666667,28.802083333333332,62.4925,7.689166666666668,85.66291666666666,101.24249999999999,10.167499999999999
1790,"IITG, Guwahati - PCBA",2025-02-15,4.333333333333333,808.04,0.19791666666666666,15.459166666666668,76.77125,4.37875,66.71208333333333,79.8975,8.82
1791,"IITG, Guwahati - PCBA",2025-02-16,3.9583333333333335,719.0291666666667,0.34874999999999995,12.401666666666669,82.16458333333331,4.284583333333334,58.91041666666666,70.47916666666667,10.7475
